LocationID,Borough,Zone,service_zone
1,EWR,Newark Airport,EWR
4,Manhattan,Alphabet City,Boro Zone
5,Staten Island,Arden Heights,Boro Zone
7,Queens,Astoria,Boro Zone
13,Manhattan,Battery Park City,Boro Zone
17,Brooklyn,Bedford,Boro Zone
18,Bronx,Bedford Park,Boro Zone
25,Brooklyn,Boerum Hill,Boro Zone
31,Bronx,Bronx Park,Boro Zone
41,Manhattan,Central Harlem,Boro Zone
43,Manhattan,Central Park,Boro Zone
79,Manhattan,East Village,Boro Zone
132,Queens,JFK Airport,Boro Zone
138,Queens,LaGuardia Airport,Boro Zone
